,course_title,course_organization,course_Certificate_type,course_rating,course_review_counts,course_difficulty,course_students_enrolled,course_link,course_image,descriptions,ratings_on_page,no_of_ratings,instructor_list,no_of_enrollments,extra_info,language,skills,Subcategory,Category
530,Chemicals and Health,Johns Hopkins University,COURSE,4.7,423 reviews,Beginner,30k,https://www.coursera.org/learn/chemicals-health,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/0a/612490d6b511e3bafbc900775be5bb/ChemHealth3.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,"Dr. Megan Weil Latshaw, PhD, Beth A. Resnick, MPH",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,Health,Health;Personal Development
531,People Analytics,University of Pennsylvania,COURSE,4.5,4570 reviews,Mixed,89k,https://www.coursera.org/learn/wharton-people-analytics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/9f/139e404cdb11e5bb11bbbec9ff99cd/coursera_people_analytics_8x8.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.5stars,,"Cade Massey, Martine Haas, Matthew Bidwell",,"Shareable Certificate, 100% online, Course 3 of 5 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 3 of 5 in the, Flexible deadlines, English",English,"Talent Management, Analytics, Performance Management, Collaboration",Management,Management
532,Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,COURSE,4.3,548 reviews,Intermediate,30k,https://www.coursera.org/learn/google-cloud-java-spring,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/54/4ed1d02bfe11e9b16e4738100f1cb7/logo-java-spring-boot-cloud_.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.3stars,,Google Cloud Training,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,Java;Microservices,Java;Data Science
533,Microeconomics: The Power of Markets,University of Pennsylvania,COURSE,4.7,883 reviews,Mixed,36k,https://www.coursera.org/learn/microeconomics-part1,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/cc/d29c75169172a7c1b1cdb15bb47b4c/DS_tax.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,Rebecca Stein,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Economics, Microeconomics, Economic Analysis, Market (Economics)",Economics,Economics
534,Getting Started with Google Kubernetes Engine,Google Cloud,COURSE,4.5,2880 reviews,Intermediate,80k,https://www.coursera.org/learn/google-kubernetes-engine,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/17/9e0ce0ca5e11e79a7bd59370e41c7f/kubernetes-course.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.5stars,,Google Cloud Training,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Continuous Delivery, Kubernetes, Google Cloud Platform, Jenkins (Software)",Google;Jenkins;Kubernetes,Google;Marketing
535,Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,COURSE,4.7,1426 reviews,Beginner,19k,https://www.coursera.org/learn/epidemiology-tools,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/20/a06f391da74fb2968d7d17daa47c6d/EpiTools.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,"Aruna Chandran, MD, MPH",,"Shareable Certificate, 100% online, Course 1 of 5 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 5 in the, Flexible deadlines, English",English,"Estimation, Geographic Information System (GIS), Statistical Methods, visualization",GIS;Health,GIS;Physical Science and Engineering;Health and Fitness;Personal Development
536,Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universit?t M?nchen (LMU),COURSE,4.8,1442 reviews,Intermediate,43k,https://www.coursera.org/learn/nutrition-pregnancy,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/04/bc3ac0f82211e6ae43b76292ea981b/P_ENeA_Coursera_800x800_Vari2_gelb-RANDblau.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,Berthold Koletzko,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,Nutrition ,Nutrition 
537,Continuous Delivery & DevOps,University of Virginia,COURSE,4.6,714 reviews,Beginner,32k,https://www.coursera.org/learn/uva-darden-continous-delivery-devops,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/eb/46cfd0765e11e89013f3b2ff3418d2/course-logo.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,Alex Cowan,,"Shareable Certificate, 100% online, Flexible deadlines, Beginner Level, English, Shareable Certificate, 100% online, Flexible deadlines, Beginner Level, English",English,"Devops, Continuous Delivery, Unit Testing, Infrastructure As Code, System Testing",Devops ,Devops 
538,Python Programming: A Concise Introduction,Wesleyan University,COURSE,4.6,3340 reviews,Beginner,120k,https://www.coursera.org/learn/python-programming-introduction,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/06/734d8067a611e5a953a7b1cecd1a16/Python-Logo-2.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,Bill Boyd,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Python Syntax And Semantics, Python Libraries, Computer Programming, Python Programming",Python,Python;Computer Science;Math and Logic
539,Foundations of Public Health Practice,Imperial College London,SPECIALIZATION,4.8,134 reviews,Beginner,6.7k,https://www.coursera.org/specializations/foundations-public-health-practice,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/50/2f6e609338484690fbaf9597c7b919/Foundations-of-Public-Health-Practice.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,99 ratings,Dr Richard J Pinder,"3,346","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 4 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 4 months to complete, English",English,,Health,Health;Personal Development
540,Blockchain Revolution in Financial Services,INSEAD,SPECIALIZATION,4.7,142 reviews,Beginner,3.2k,https://www.coursera.org/specializations/blockchain-financial-services,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/82/dc4d8b56e845e6a17b3a4da0df0c85/Blockchain_Financial-Services_Onsite-Graphic.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,102 ratings,"Don Tapscott, Alex Tapscott","1,746","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English",English,"Collaborative Working Environment, Blockchain (Database), Open Collaboration, Access Structure, Object Binding, Alcatel Business Communications, Centurylink, Base Address",Blockchain;Business;Database,Blockchain;Computer Science
541,Plant Bioinformatic Methods,University of Toronto,SPECIALIZATION,4.7,1241 reviews,Beginner,87k,https://www.coursera.org/specializations/plant-bioinformatic-methods,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/c3/9c72443cf44136bf078c6065944341/Thumbnail_PlantBioinfo.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,"1,078 ratings",Nicholas James Provart,"3,041","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 8 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 8 months to complete, English",English,"Genetic Analysis, Bioinformatics Analysis, Evolution, Comparative Genomics",,
542,Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,COURSE,4.8,617 reviews,Beginner,25k,https://www.coursera.org/learn/entrepreneurship-strategy,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c8/b797a0478f11e79f5485707c5a8841/COURSERA-vignette_Entrepreneurship-Strategy-V1.png.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,Ambroise Huret,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,Entrepreneurship;Strategy,Entrepreneurship;Art and Design;Computer Science;Data Science;Health and Fitness;Language and Communication;Math and Logic;Social Science
543,Get Interactive: Practical Teaching with Technology,Bloomsbury Learning Exchange,COURSE,4.8,337 reviews,Beginner,19k,https://www.coursera.org/learn/getinmooc,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/cb/3c4030d65011e682d8b14e2f0915fa/shutterstock_226881610.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,"Dr Eileen Kennedy, Dr Nancy Weitz, Ms Sarah Sherman",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,,
544,"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",UNSW Sydney (The University of New South Wales),COURSE,4.7,429 reviews,Mixed,51k,https://www.coursera.org/learn/transmedia-storytelling,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/81/cf8db03c4211e6aa3c2771617a3373/TMS-logo-gradient-lines-BIG-icons-SOLID-BLANK.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,"Associate Professor Simon McIntyre, Dr Ollie Bown, Emma Robertson, Dr Geoge Khut, Dr Jeffrey Koh",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,,
545,Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,COURSE,4.8,720 reviews,Intermediate,26k,https://www.coursera.org/learn/immunologyfundamentalsimmunitybcells,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/d0/cd55300f8711e9aa9ad9d3f789b816/Immunology-spec1.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,"Alma Moon Novotny, Ph.D.",,"Shareable Certificate, 100% online, Course 1 of 3 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 3 in the, Flexible deadlines, English",English,,,
546,Neurolinguistics,Saint Petersburg State University,COURSE,4.7,137 reviews,Mixed,44k,https://www.coursera.org/learn/neuroling,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/d8/dfd4d6e13d4f01a4a2d14533004a0f/cover_NEW_end_1920x1080.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,"Черниговская Татьяна Владимировна, Kennth Hugdahl, Turid Helland, Kira Gor, Киреев Максим Владимирович, Ekaterina Protassova, Слюсарь Наталия Анатольевна, Kirill Nourski, Петрова Татьяна Евгеньевна, Прокопеня Вероника Константиновна",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,,
547,Business English for Non-Native Speakers,The Hong Kong University of Science and Technology,SPECIALIZATION,4.5,1091 reviews,Beginner,150k,https://www.coursera.org/specializations/business-english-speakers,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/af/00a4b0a33411e5b3003bc0db0b0a9b/488109.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Enhance Your Business English Communication. Master your proficiency in spoken and written English for Business purposes.,4.5stars,497 ratings,"Kin Tang, Delian Gaskell, Sean McMinn","19,519","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 8 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 8 months to complete, English",English,"Business Communication, Communication, Business Writing, Writing, Grammar, English Language",Business;Communication;English;Language;Writing,Business;Business;Language and Communication;Computer Science;Personal Development
548,"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,COURSE,4.7,8586 reviews,Mixed,110k,https://www.coursera.org/learn/python-data-visualization,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/05/0ce7f00f7d11e79768fb52f584cd0d/python4e_capstone_1x1.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,Charles Russell SeveranceTop Instructor,,"Shareable Certificate, 100% online, Course 5 of 5 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 5 of 5 in the, Flexible deadlines, English",English,"Data Analysis, Python Programming, Database (DBMS), Data Visualization (DataViz)",Data Analysis;Database;Python,Data Analysis;Computer Science;Math and Logic
549,Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",COURSE,4.6,2312 reviews,Intermediate,98k,https://www.coursera.org/learn/bayesian-statistics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/94/34f33c28e748f6896a52cffa7b517d/Bayesian1.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,Herbert Lee,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Statistics, Bayesian Statistics, Bayesian Inference, R Programming",Data Analysis;R;Statistics,Data Analysis;Computer Science;Math and Logic
550,Healthcare Organization Operations,Rutgers the State University of New Jersey,SPECIALIZATION,4.6,186 reviews,Beginner,8.3k,https://www.coursera.org/specializations/healthcare-organization-operations,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/f6/7fbb00f27d11e8af629bcdc1c03f67/rawpixel-659503-SpecLogo5.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Healthcare Foundations for Administrative Careers. This specialization introduces concepts for healthcare organization administration and operations.,4.6stars,125 ratings,"Margaret Kilduff, Ph.D.","3,239","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 4 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 4 months to complete, English",English,"Pharmacy Healthcare Organization Operations, Public Health and Wellness Healthcare Organization Operations, Medical Healthcare Organization Operations, Healthcare Administration, Dental Healthcare Organization Operations",Health,Health;Personal Development
